Company,about,rating,reviews,salaries,location,jobs,interviews
TCS,IT Services & Consulting ,3.3,9.8L,11.8k,Bangalore / Bengaluru +439 other locations,2.2k,11.8
Accenture,IT Services & Consulting ,3.7,6.5L,9.2k,Bangalore / Bengaluru +255 other locations,45k,9.2
Wipro,IT Services & Consulting ,3.6,4.8L,6.7k,Hyderabad / Secunderabad +370 other locations,5.8k,6.7
Cognizant,IT Services & Consulting ,3.6,6L,6.3k,Hyderabad / Secunderabad +229 other locations,725,6.3
Capgemini,IT Services & Consulting ,3.7,4.8L,5.4k,Bangalore / Bengaluru +183 other locations,1.9k,5.4
HDFC Bank,Banking ,3.8,1.5L,2.9k,Mumbai +1823 other locations,237,2.9
Infosys,IT Services & Consulting ,3.5,5.2L,8.3k,Bangalore / Bengaluru +246 other locations,2.6k,8.3
ICICI Bank,Banking ,4.0,1.5L,2.9k,Mumbai +1437 other locations,22,2.9
HCLTech,IT Services & Consulting ,3.4,3.8L,4.5k,Chennai +228 other locations,223,4.5
Tech Mahindra,IT Services & Consulting ,3.4,2.8L,4.5k,Hyderabad / Secunderabad +332 other locations,493,4.5
Genpact,IT Services & Consulting ,3.6,2.3L,3.8k,Hyderabad / Secunderabad +181 other locations,1.5k,3.8
Teleperformance,BPO ,3.8,96.2k,2.2k,Mumbai +255 other locations,1.3k,2.2
Jio,Telecom ,4.4,62.2k,3.9k,Mumbai +1907 other locations,3,3.9
Axis Bank,Banking ,3.6,1.1L,1.9k,Mumbai +1503 other locations,180,1.9
Concentrix Corporation,BPO ,3.6,1.3L,1.9k,Bangalore / Bengaluru +176 other locations,77,1.9
Amazon,Internet ,3.9,1.5L,5.8k,Bangalore / Bengaluru +519 other locations,1.7k,5.8
iEnergizer,BPO ,4.6,24k,1.1k,Noida +51 other locations,60,1.1
Reliance Retail,Retail ,3.9,75.3k,1.9k,Mumbai +1155 other locations,149,1.9
LTIMindtree,IT Services & Consulting ,3.6,1.9L,3.4k,Bangalore / Bengaluru +146 other locations,502,3.4
IBM,IT Services & Consulting ,3.9,2.1L,2.6k,Bangalore / Bengaluru +160 other locations,1.9k,2.6
HDB Financial Services,NBFC ,3.9,50k,1.1k,Mumbai +1092 other locations,224,1.1
Larsen & Toubro Limited,Engineering & Construction ,3.9,74.4k,1.8k,Chennai +759 other locations,187,1.8
Deloitte,Management Consulting ,3.7,2.5L,3.3k,Hyderabad / Secunderabad +187 other locations,1.8k,3.3
Kotak Mahindra Bank,Banking ,3.6,86.7k,1.4k,Mumbai +683 other locations,107,1.4
Reliance Industries,Oil & Gas ,4.0,72.6k,1.6k,Jamnagar +814 other locations,57,1.6
Vodafone Idea,Telecom ,3.9,50.3k,672,Pune +703 other locations,42,672
Bharti Airtel,Telecom ,3.8,48.7k,1.1k,Gurgaon / Gurugram +790 other locations,135,1.1
BYJU'S,EdTech ,3.2,53.6k,2.1k,Bangalore / Bengaluru +322 other locations,--,2.1
WNS,IT Services & Consulting ,3.3,68.7k,1.2k,Pune +65 other locations,105,1.2
IDFC FIRST Bank,Banking ,3.9,49k,916,Mumbai +714 other locations,26,916
Tata Motors,Automobile ,4.1,42.5k,1.2k,Pune +506 other locations,184,1.2
Ernst & Young,Management Consulting ,3.4,1.4L,1.3k,Bangalore / Bengaluru +133 other locations,2.3k,1.3
IndusInd Bank,Banking ,3.4,52k,754,Mumbai +789 other locations,111,754
AU Small Finance Bank,Banking ,3.9,29k,672,Jaipur +786 other locations,50,672
Bajaj Finserv,NBFC ,3.9,30.3k,713,Pune +1167 other locations,9,713
Flipkart,Internet ,3.9,54.3k,1.6k,Bangalore / Bengaluru +557 other locations,165,1.6
Muthoot FinCorp,NBFC ,4.5,9k,2.2k,Bangalore / Bengaluru +1098 other locations,49,2.2
PwC,Management Consulting ,3.3,1.2L,1.5k,Bangalore / Bengaluru +132 other locations,879,1.5
Mahindra & Mahindra,Automobile ,4.0,39.9k,838,Pune +561 other locations,1,838
DXC Technology,IT Services & Consulting ,3.6,73.3k,887,Bangalore / Bengaluru +132 other locations,212,887
Infosys BPM,BPO ,3.5,73.1k,1.1k,Bangalore / Bengaluru +96 other locations,76,1.1
HDFC Life,Insurance ,3.9,32.7k,776,Mumbai +700 other locations,129,776
Bandhan Bank,Banking ,3.7,25.2k,732,Kolkata +997 other locations,14,732
Conneqt Business Solutions,BPO ,3.5,26.2k,547,Hyderabad / Secunderabad +266 other locations,350,547
Mphasis,IT Services & Consulting ,3.3,73.2k,915,Bangalore / Bengaluru +63 other locations,53,915
Yes Bank,Banking ,3.6,43k,544,Mumbai +539 other locations,136,544
Tata Steel,Iron & Steel ,4.0,34.1k,1k,Jamshedpur +229 other locations,--,1
Quess,Recruitment ,3.8,30.8k,529,Bangalore / Bengaluru +741 other locations,25,529
Maruti Suzuki,Automobile ,4.2,28.2k,768,Gurgaon / Gurugram +451 other locations,713,768
Asian Paints,Chemicals ,4.0,25.4k,837,Mumbai +549 other locations,59,837
Startek,BPO ,3.1,24.5k,620,Bangalore / Bengaluru +105 other locations,134,620
UltraTech Cement,Building Material ,4.1,23.6k,780,Mumbai +534 other locations,32,780
Paytm,FinTech ,3.2,34k,882,Noida +418 other locations,375,882
Shriram Finance,NBFC ,4.0,14.9k,439,Chennai +1111 other locations,5,439
Bajaj Finance,NBFC ,3.9,22.6k,426,Pune +971 other locations,7.1k,426
Equitas Small Finance Bank,Banking ,4.4,13.2k,999,Chennai +480 other locations,21,999
Sutherland Global Services,BPO ,3.4,34.5k,776,Chennai +81 other locations,184,776
EXL Service,Analytics & KPO ,3.6,44.2k,892,Noida +62 other locations,1.5k,892
Cipla,Pharma ,4.1,26k,582,Mumbai +292 other locations,61,582
Ericsson,Telecom ,3.9,42.4k,469,Noida +163 other locations,85,469
Wells Fargo,Financial Services ,3.7,55.5k,678,Bangalore / Bengaluru +27 other locations,173,678
Samsung,Consumer Electronics & Appliances ,3.9,26.3k,618,Noida +581 other locations,18,618
Dr. Reddy's,Pharma ,4.0,26.1k,498,Hyderabad / Secunderabad +215 other locations,10,498
Optum Global Solutions,IT Services & Consulting ,4.0,48.7k,751,Hyderabad / Secunderabad +68 other locations,133,751
Delhivery,Logistics ,3.8,20.9k,602,Gurgaon / Gurugram +754 other locations,193,602
ICICI Prudential Life Insurance,Insurance ,4.0,23.1k,473,Mumbai +505 other locations,632,473
JSW Steel,Iron & Steel ,3.9,30.4k,792,Ballari +193 other locations,111,792
JPMorgan Chase & Co.,Financial Services ,3.8,86.1k,856,Bangalore / Bengaluru +55 other locations,758,856
HGS,BPO ,3.7,20.8k,273,Bangalore / Bengaluru +121 other locations,19,273
Jana Small Finance Bank,Banking ,3.8,14.2k,305,Bangalore / Bengaluru +418 other locations,35,305
Ujjivan Small Finance Bank,Banking ,4.0,13k,314,Bangalore / Bengaluru +533 other locations,210,314
Sun Pharmaceutical Industries,Pharma ,4.1,23.5k,654,Vadodara +265 other locations,337,654
Hexaware Technologies,IT Services & Consulting ,3.4,53.3k,816,Chennai +69 other locations,648,816
Amazon Development Centre India,Internet ,3.8,38.4k,877,Hyderabad / Secunderabad +146 other locations,8,877
Lupin,Pharma ,4.1,22.5k,437,Pune +201 other locations,36,437
L&T Construction,Engineering & Construction ,4.0,19.2k,943,Chennai +433 other locations,--,943
Ekart Logistics,Logistics ,3.9,15.8k,405,Bangalore / Bengaluru +740 other locations,--,405
Zydus Lifesciences,Pharma ,3.9,20k,420,Ahmedabad +176 other locations,28,420
Hindustan Unilever,FMCG ,4.2,20.1k,463,Mumbai +533 other locations,36,463
KPMG India,Management Consulting ,3.4,64.9k,915,Bangalore / Bengaluru +112 other locations,65,915
ITC,FMCG ,3.9,24.5k,684,Bangalore / Bengaluru +376 other locations,73,684
Axis Max Life Insurance,Insurance ,4.0,19.7k,399,New Delhi +496 other locations,139,399
